File,Category,Normalization,Step,Mean_LE,Std_LE,Mean_HE,Std_HE
ore-38-PbZn-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,36.18,31.07,65.91,36.41
ore-38-PbZn-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.65,31.57,66.56,35.93
ore-38-PbZn-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,40.47,32.88,66.69,34.96
ore-38-PbZn-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.24,8.9,7.13,19.43
ore-38-PbZn-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.36,8.88,7.66,19.88
ore-38-PbZn-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.54,9.04,8.33,20.56
ore-38-PbZn-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.73,9.26,8.93,21.13
ore-38-PbZn-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.91,9.42,9.55,21.61
ore-38-PbZn-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.1,9.55,10.11,21.94
ore-38-PbZn-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.34,9.87,10.58,22.12
ore-PbZn-38-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.87,14.98,8.32,22.02
ore-PbZn-38-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.06,15.17,8.94,22.69
ore-PbZn-38-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.39,15.89,9.65,23.83
ore-PbZn-38-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.49,15.83,10.09,24.01
ore-PbZn-38-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.6,15.71,10.55,24.24
ore-PbZn-38-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.75,15.58,10.91,24.1
ore-PbZn-38-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.95,15.34,11.03,23.42
ore-PbZn-38-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,29.75,27.05,60.67,33.83
ore-PbZn-38-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,30.93,27.38,62.52,33.74
ore-PbZn-38-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,31.37,27.43,63.22,33.31
ore-PbZn-38-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,32.24,27.57,64.43,33.13
ore-PbZn-38-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,33.02,27.65,65.42,32.85
ore-PbZn-38-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,33.88,27.92,66.29,32.67
ore-PbZn-38-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,35.03,28.29,66.81,32.17
铁阶梯-校准前-0.6mm-200kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-,"[7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-
铁阶梯-校准前-0.6mm-220kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[28.3, 12.7, 7.0, 4.1, 2.7, 1.8, 1.0, 0.8, 0.1, 0.1]",-,"[37.5, 23.5, 15.5, 10.5, 7.2, 5.0, 3.5, 2.4, 1.9, 1.1]",-
铁阶梯-校准前-0.6mm-240kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[33.5, 15.5, 8.8, 5.4, 3.5, 2.2, 1.5, 1.0, 0.8, 0.5]",-,"[47.1, 30.2, 20.4, 14.1, 9.9, 7.0, 5.0, 3.8, 2.7, 2.0]",-
铁阶梯-校准前-0.6mm-260kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[38.6, 18.3, 10.6, 6.8, 4.4, 3.0, 2.0, 1.3, 1.0, 0.9]",-,"[57.2, 37.4, 25.6, 18.0, 12.9, 9.3, 6.9, 5.0, 3.8, 3.0]",-
铁阶梯-校准前-0.6mm-280kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[43.9, 21.3, 12.6, 8.1, 5.5, 3.8, 2.7, 2.0, 1.2, 1.1]",-,"[67.7, 44.9, 31.2, 22.3, 16.1, 11.8, 8.8, 6.6, 5.0, 3.9]",-
铁阶梯-校准前-0.6mm-300kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[49.2, 24.3, 14.6, 9.6, 6.6, 4.6, 3.2, 2.3, 1.8, 1.4]",-,"[78.5, 52.8, 37.1, 26.7, 19.5, 14.5, 10.9, 8.2, 6.2, 5.0]",-
铁阶梯-校准前-0.6mm-320kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[54.5, 27.3, 16.7, 11.1, 7.7, 5.5, 4.0, 3.0, 2.1, 1.9]",-,"[89.7, 60.9, 43.3, 31.5, 23.2, 17.4, 13.1, 10.0, 7.7, 6.2]",-
铁阶梯-校准前-1.2mm-200kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-,"[9.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-
铁阶梯-校准前-1.2mm-220kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[23.8, 10.6, 5.9, 3.5, 2.1, 1.2, 1.0, 0.5, 0.0, 0.0]",-,"[28.7, 18.5, 12.3, 8.3, 5.9, 4.0, 3.0, 2.0, 1.1, 1.0]",-
铁阶梯-校准前-1.2mm-240kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[27.7, 12.9, 7.3, 4.5, 3.0, 2.0, 1.1, 1.0, 0.4, 0.3]",-,"[36.3, 23.9, 16.3, 11.3, 8.1, 5.8, 4.0, 3.0, 2.0, 1.7]",-
铁阶梯-校准前-1.2mm-260kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[32.0, 15.2, 8.9, 5.6, 3.8, 2.5, 1.8, 1.1, 1.0, 0.8]",-,"[44.2, 29.8, 20.7, 14.6, 10.5, 7.6, 5.6, 4.0, 3.0, 2.2]",-
铁阶梯-校准前-1.2mm-280kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[36.2, 17.7, 10.5, 6.8, 4.6, 3.1, 2.1, 1.6, 1.0, 1.0]",-,"[52.7, 36.0, 25.3, 18.2, 13.2, 9.8, 7.1, 5.3, 4.0, 3.1]",-
铁阶梯-校准前-1.2mm-300kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[40.4, 20.1, 12.1, 8.0, 5.4, 3.9, 2.8, 2.0, 1.3, 1.1]",-,"[61.4, 42.4, 30.2, 21.9, 16.1, 12.0, 9.0, 6.9, 5.1, 4.1]",-
铁阶梯-校准前-1.2mm-320kV-2mA-user.tif,Step,Normalized (8bit from 16bit-user),S1-S10 (Thin->Thick),"[45.3, 22.9, 14.1, 9.4, 6.6, 4.7, 3.4, 2.5, 1.9, 1.6]",-,"[70.4, 49.1, 35.4, 26.0, 19.3, 14.5, 11.0, 8.4, 6.3, 5.2]",-
铁阶梯-校准后-0.6mm-200kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[44.0, 19.2, 10.3, 6.1, 3.8, 2.2, 1.4, 1.0, 0.5, 0.5]",-,"[107.3, 65.5, 42.4, 28.3, 19.3, 13.3, 9.3, 6.6, 4.7, 3.6]",-
铁阶梯-校准后-0.6mm-220kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[46.4, 21.0, 11.6, 7.1, 4.5, 2.9, 2.0, 1.2, 0.9, 0.7]",-,"[111.4, 70.1, 46.5, 31.8, 22.1, 15.6, 11.2, 8.1, 5.8, 4.5]",-
铁阶梯-校准后-0.6mm-240kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[48.6, 22.5, 12.9, 8.0, 5.2, 3.5, 2.3, 1.7, 1.0, 1.0]",-,"[114.8, 73.8, 49.9, 34.8, 24.6, 17.7, 12.8, 9.4, 7.0, 5.5]",-
铁阶梯-校准后-0.6mm-260kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[50.5, 24.0, 14.0, 8.9, 5.9, 4.0, 2.8, 2.0, 1.2, 1.1]",-,"[117.3, 76.8, 52.8, 37.2, 26.8, 19.5, 14.4, 10.7, 8.0, 6.3]",-
铁阶梯-校准后-0.6mm-280kV-2mA-orig.tif,Step,Normalized (8bit 80%),S1-S10 (Thin->Thick),"[52.3, 25.4, 15.1, 9.7, 6.6, 4.5, 3.2, 2.2, 1.6, 1.3]",-,"[119.2, 79.2, 55.1, 39.4, 28.6, 21.1, 15.7, 11.8, 8.9, 7.1]",-
